pick_id,asset_code,asset_name,report_type,created_at,direction,base_target,bull_target,bear_target,current_price,anchor_nav,conviction,core_thesis,key_variable,falsification,verified_at,actual_price,actual_return,benchmark_return,alpha,verification_status,invalidation,notes
300750.SZ-bull-2026-08-03-dec6dd,300750.SZ,宁德时代,listed_company,2026-08-03,bull,320.0,0.0,0.0,0.0,20.62652015686035,high,eps_ttm=14.8 x 目标PE 21.6（R55快照）,,,2026-09-01T02:32:15.120836,20.71602439880371,0.004339279784602464,,0.004339279784602464,hit,,
002594.SZ-bull-2026-08-03-93bbfd,002594.SZ,比亚迪,listed_company,2026-08-03,bull,420.0,0.0,0.0,0.0,11.371068954467773,high,eps_ttm=18.9 x 目标PE 22.2（R55快照）,,,2026-09-01T02:32:15.171223,11.062917709350586,-0.027099584599397993,,-0.027099584599397993,partial,,
300760.SZ-bull-2026-08-03-21909d,300760.SZ,迈瑞医疗,listed_company,2026-08-03,bull,340.0,0.0,0.0,0.0,2.343532085418701,medium,eps_ttm=13.2 x 目标PE 25.8（R55快照）,,,2026-09-01T02:32:15.227928,2.4044010639190674,0.02597317906551777,,0.02597317906551777,hit,,
000333.SZ-bull-2026-08-03-ac9969,000333.SZ,美的集团,listed_company,2026-08-03,bull,82.0,0.0,0.0,0.0,11.843986511230469,medium,eps_ttm=6.1 x 目标PE 13.4（R55快照）,,,2026-09-01T02:32:15.273455,11.695537567138672,-0.012533697497125447,,-0.012533697497125447,partial,,
000651.SZ-bull-2026-08-03-a1c0db,000651.SZ,格力电器,listed_company,2026-08-03,bull,60.0,0.0,0.0,0.0,142.68698120117188,medium,eps_ttm=5.8 x 目标PE 10.3（R55快照，低估值修复）,,,2026-09-01T02:32:15.319240,144.22576904296875,0.010784360485049193,,0.010784360485049193,hit,,
300124.SZ-bull-2026-08-03-430ad5,300124.SZ,汇川技术,listed_company,2026-08-03,bull,86.0,0.0,0.0,0.0,16.19154167175293,medium,eps_ttm=2.4 x 目标PE 35.8（R55快照）,,,2026-09-01T02:32:15.360479,16.2908935546875,0.00613603602107237,,0.00613603602107237,hit,,
002475.SZ-bull-2026-08-03-23cb77,002475.SZ,立讯精密,listed_company,2026-08-03,bull,55.0,0.0,0.0,0.0,52.59589767456055,medium,eps_ttm=2.2 x 目标PE 25.0（R55快照）,,,2026-09-01T02:32:15.397097,47.82638931274414,-0.09068213630135094,,-0.09068213630135094,partial,,
002415.SZ-bull-2026-08-03-82d17c,002415.SZ,海康威视,listed_company,2026-08-03,bull,42.0,0.0,0.0,0.0,10.554253578186035,medium,eps_ttm=1.7 x 目标PE 24.7（R55快照）,,,2026-09-01T02:32:15.432914,10.201358795166016,-0.03343626154192438,,-0.03343626154192438,partial,,
603259.SS-bull-2026-08-03-f0aa1c,603259.SS,药明康德,listed_company,2026-08-03,bull,75.0,0.0,0.0,0.0,10.392282485961914,medium,eps_ttm=0.52USD x 目标PE 20（R55快照）,,,2026-09-01T02:32:15.469835,13.757821083068848,0.323849799276835,,0.323849799276835,hit,,
603501.SH-bull-2026-08-03-8aed0b,603501.SH,韦尔股份,listed_company,2026-08-03,bull,160.0,0.0,0.0,0.0,13.20276927947998,medium,eps_ttm=4.1 x 目标PE 39.0（R55快照）,,,2026-09-01T02:32:15.503489,12.342719078063965,-0.0651416519678734,,-0.0651416519678734,partial,,
600031.SS-bull-2026-08-03-5935d9,600031.SS,三一重工,listed_company,2026-08-03,bull,20.0,0.0,0.0,0.0,49.78168869018555,medium,eps_ttm=0.8 x 目标PE 25.0（R55快照）,,,2026-09-01T02:32:15.538914,47.50739669799805,-0.045685312250885464,,-0.045685312250885464,partial,,
600276.SS-bull-2026-08-03-1204b7,600276.SS,恒瑞医药,listed_company,2026-08-03,bull,75.0,0.0,0.0,0.0,126.34440612792969,medium,eps_ttm=1.35 x 目标PE 55.6（R55快照，创新药景气）,,,2026-09-01T02:32:15.573841,113.18600463867188,-0.10414708408961382,,-0.10414708408961382,miss,,
